Item,Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Año,Mes,Contrato,Campo,TipoProd,TipoHidrocarburo,PrecioHidrocarburoUSD,PorcRegalia,ProdGravableBlsKpc,VolumenRegaliaBlsKpc,RegaliasCOP,TrmPromedio,RegimenReg
1,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,NARE SUR,QB,G,3.1498,0.2,616.54,123.308,1356012.84,3491.32,Ley 141 20%
2,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,NARE SUR,B,O,38.4116,0.2,4672.09,934.418,125312169.22,3491.32,Ley 141 20%
3,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,UNDERRIVER,QB,G,3.1498,0.064,3619.91,231.67424,2547712.25,3491.32,Ley 756 8% variable
4,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,UNDERRIVER,P,O,38.5885,0.06,26329.55,1579.773,212834604.2,3491.32,Ley 756 8% variable
5,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.118,0.2,3216.18,643.236,9247968.37,3491.32,Ley 141 20%
6,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.118,0.12,3216.18,385.9416,5548781.09,3491.32,ARTICULO 39 LEY 756
7,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.4346,0.2,15903.1,3180.62,526740466.17,3491.32,Ley 141 20%
8,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.4346,0.12,15903.1,1908.372,316044280.2,3491.32,ARTICULO 39 LEY 756
9,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,47.4346,0.06,11811.88,708.7128,117369478.64,3491.32,Ley 756 8% variable
10,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,NARE SUR,QB,G,3.0797,0.2,293.19,58.638,641898.06,3554.5,Ley 141 20%
11,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,NARE SUR,B,O,43.9214,0.2,4136.12,827.224,129145065.88,3554.5,Ley 141 20%
12,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,UNDERRIVER,QB,G,3.0797,0.064,1773.21,113.48544,1242301.65,3554.5,Ley 756 8% variable
13,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,UNDERRIVER,P,O,44.0729,0.06,24375.69,1462.5414,229117528.02,3554.5,Ley 756 8% variable
14,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0264,0.2,3240.03,648.006,9274157.03,3554.5,Ley 141 20%
15,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0264,0.12,3240.03,388.8036,5564494.44,3554.5,ARTICULO 39 LEY 756
16,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,53.2387,0.2,14227.95,2845.59,538490798.14,3554.5,Ley 141 20%
17,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,53.2387,0.12,14227.95,1707.354,323094479.16,3554.5,ARTICULO 39 LEY 756
18,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,53.2387,0.06,11894.05,713.643,135047631.24,3554.5,Ley 756 8% variable
19,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,NARE,NARE SUR,B,O,46.1955,0.2,5274.89,1054.978,176069198.32,3612.77,Ley 141 20%
20,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,NARE,UNDERRIVER,P,O,46.33,0.06,27423.42,1645.4052,275407320.13,3612.77,Ley 756 8% variable
21,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0906,0.2,4165.05,833.01,12310552.29,3612.77,Ley 141 20%
22,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0906,0.12,4165.05,499.806,7386331.47,3612.77,ARTICULO 39 LEY 756
23,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5728,0.2,15722.61,3144.522,631331167.13,3612.77,Ley 141 20%
24,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5728,0.12,15722.61,1886.7132,378798700.83,3612.77,ARTICULO 39 LEY 756
25,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,55.5728,0.06,16968.58,1018.1148,204408684.51,3612.77,Ley 756 8% variable
26,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,NARE,NARE SUR,B,O,48.6978,0.2,5419.07,1083.814,192685821.74,3650.78,Ley 141 20%
27,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,NARE,UNDERRIVER,P,O,46.9755,0.06,27459.62,1647.5772,282554902.56,3650.78,Ley 756 8% variable
28,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1193,0.2,3909.74,781.948,11759448.27,3650.78,Ley 141 20%
29,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1193,0.12,3909.74,469.1688,7055669.16,3650.78,ARTICULO 39 LEY 756
30,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5299,0.2,15178.84,3035.768,615433499.93,3650.78,Ley 141 20%
31,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5299,0.12,15178.84,1821.4608,369260100.2,3650.78,ARTICULO 39 LEY 756
32,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,55.5299,0.06,17760.51,1065.6306,216032572.39,3650.78,Ley 756 8% variable
33,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,NARE,NARE SUR,B,O,50.1558,0.2,5042.42,1008.484,188955125.65,3735.67,Ley 141 20%
34,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,NARE,UNDERRIVER,P,O,48.419,0.06,20656.54,1239.3924,224178082,3735.67,Ley 756 8% variable
35,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2753,0.2,3887.25,777.45,12416739.37,3735.67,Ley 141 20%
36,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2753,0.12,3887.25,466.47,7450043.66,3735.67,ARTICULO 39 LEY 756
